# https://github.com/akinomyoga/contra
contra                         0x000000 0x800000 0x008000 0x808000 0x000080 0x800080 0x008080 0xC0C0C0 0x808080 0xFF0000 0x32CD32 0xFFD700 0x0000FF 0xFF00FF 0x40E0D0 0xFFFFFF 0x000000 0xFFFFFF 0x000000

# The following palettes are created from
# https://en.wikipedia.org/wiki/ANSI_escape_code#3-bit_and_4-bit
# (2024-08-19)

VGA                            0x000000 0xAA0000 0x00AA00 0xAA5500 0x0000AA 0xAA00AA 0x00AAAA 0xAAAAAA 0x555555 0xFF5555 0x55FF55 0xFFFF55 0x5555FF 0xFF55FF 0x55FFFF 0xffffff 0xffffff 0x000000 0xffffff
WinXPConsole                   0x000000 0x800000 0x008000 0x808000 0x000080 0x800080 0x008080 0xc0c0c0 0x808080 0xff0000 0x00ff00 0xffff00 0x0000ff 0xff00ff 0x00ffff 0xffffff 0xffffff 0x000000 0xffffff
PowerShell                     0x000000 0x800000 0x008000 0xeeedf0 0x000080 0x012456 0x008080 0xc0c0c0 0x808080 0xff0000 0x00ff00 0xffff00 0x0000ff 0xff00ff 0x00ffff 0xffffff 0xeeedf0 0x012456 0xfedba9
VSCode                         0x000000 0xcd3131 0x0dbc79 0xe5e510 0x2472c8 0xbc3fbc 0x11a8cd 0xe5e5e5 0x666666 0xf14c4c 0x23d18b 0xf5f543 0x3b8eea 0xd670d6 0x29b8dB 0xe5e5e5 0xe5e5e5 0x000000 0xe5e5e5
Win10Console                   0x0c0c0c 0xc50f1f 0x13a10e 0xc19c00 0x0037da 0x881798 0x3a96dd 0xcccccc 0x767676 0xe74856 0x16c60c 0xf9f1a5 0x3b78ff 0xb4009e 0x61d6d6 0xf2f2f2 0xf2f2f2 0x0c0c0c 0xf2f2f2
Terminal.app                   0x000000 0x990000 0x00A600 0x999900 0x0000B2 0xB200B2 0x00A6B2 0xBFBFBF 0x666666 0xE60000 0x00D900 0xE5E500 0x0000FF 0xE600E6 0x00E6E6 0xE6E6E6 0x000000 0xE6E6E6 0x000000
PuTTY                          0x000000 0xbb0000 0x00bb00 0xbbbb00 0x0000bb 0xbb00bb 0x00bbbb 0xbbbbbb 0x555555 0xff5555 0x55ff55 0xffff55 0x5555ff 0xff55ff 0x55ffff 0xffffff 0xffffff 0x000000 0xffffff
mIRC                           0x000000 0x7f0000 0x009300 0xfc7f00 0x00007f 0x9c009c 0x009393 0xd2d2d2 0x7f7f7f 0xff0000 0x00fc00 0xffff00 0x0000fc 0xff00ff 0x00ffff 0xffffff 0x000000 0xffffff 0x000000
xterm                          0x000000 0xcd0000 0x00cd00 0xcdcd00 0x0000ee 0xcd00cd 0x00cdcd 0xe5e5e5 0x7f7f7f 0xff0000 0x00ff00 0xffff00 0x5c5cff 0xff00ff 0x00ffff 0xffffff 0x000000 0xffffff 0x000000
Ubuntu                         0x010101 0xde382b 0x39b54a 0xffc706 0x006fb8 0x762671 0x2cb5e9 0xcccccc 0x808080 0xff0000 0x00ff00 0xffff00 0x0000ff 0xff00ff 0x00ffff 0xffffff 0xffffff 0x010101 0xffffff
Eclipse                        0x000000 0xcd0000 0x00cd00 0xcdcd00 0x0000ee 0xcd00cd 0x00cdcd 0xe5e5e5 0x000000 0xff0000 0x00ff00 0xffff00 0x5c5cff 0xff00ff 0x00ffff 0xffffff 0x000000 0xffffff 0x000000

#------------------------------------------------------------------------------
# SECTION iTerm2-Color-Schemes
#
# The following palettes are generated by
# ble/contrib/colorglass/extract-base16-palette-from-iTerm2-Color-Schemes
# (2024-08-19 in iTerm2-Color-Schemes @ b4a9c4d).  The upstream license is MIT.
# The table is generated by the following command:
#
# $ make/color.sample.sh convert-iTerm2-palettes

3024Day                        0x090300 0xdb2d20 0x01a252 0xfded02 0x01a0e4 0xa16a94 0xb5e4f4 0xa5a2a2 0x5c5855 0xe8bbd0 0x3a3432 0x4a4543 0x807d7c 0xd6d5d4 0xcdab53 0xf7f7f7 0x4a4543 0xf7f7f7 0x4a4543
